dataset,bootstrap,n_system_draws,n_unique_systems_drawn,alpha,feature,shapley_mse_utility
brspeech,37,6,5,10.0,whisper,-0.0738164525348988
brspeech,38,6,4,10.0,auditory_erb,0.058369400208190314
brspeech,38,6,4,10.0,beats,0.027492870751275187
brspeech,38,6,4,10.0,ced,0.0982396443103034
brspeech,38,6,4,10.0,contentvec12,0.06416182194207609
brspeech,38,6,4,10.0,egemaps,0.29303968080238235
brspeech,38,6,4,10.0,rmvpe_cont,0.0213803129009111
brspeech,38,6,4,10.0,rmvpe_quant,-0.009723295091908817
brspeech,38,6,4,10.0,speaker,0.14259022552404696
brspeech,38,6,4,10.0,wavlm,0.14733921620892623
brspeech,38,6,4,10.0,whisper,-0.07671680335349151
brspeech,39,6,3,10.0,auditory_erb,-6.807111698525194
brspeech,39,6,3,10.0,beats,0.5083783303217372
brspeech,39,6,3,10.0,ced,0.010987081959093207
brspeech,39,6,3,10.0,contentvec12,0.8165345334475622
brspeech,39,6,3,10.0,egemaps,1.5840323361227278
brspeech,39,6,3,10.0,rmvpe_cont,1.0507160645482465
brspeech,39,6,3,10.0,rmvpe_quant,0.8729614264789045
brspeech,39,6,3,10.0,speaker,0.7133268975582994
brspeech,39,6,3,10.0,wavlm,0.9826882689038507
brspeech,39,6,3,10.0,whisper,1.0036000759821422
brspeech,40,6,4,10.0,auditory_erb,0.10843174998915982
brspeech,40,6,4,10.0,beats,-0.05700346205118606
brspeech,40,6,4,10.0,ced,0.1333071850141357
brspeech,40,6,4,10.0,contentvec12,0.09200505947576704
brspeech,40,6,4,10.0,egemaps,0.30350234277503596
brspeech,40,6,4,10.0,rmvpe_cont,0.03564213092407719
brspeech,40,6,4,10.0,rmvpe_quant,-0.2975730591640364
brspeech,40,6,4,10.0,speaker,0.14599311191252534
brspeech,40,6,4,10.0,wavlm,0.14020902964918316
brspeech,40,6,4,10.0,whisper,-0.03978505224989105
brspeech,41,6,5,10.0,auditory_erb,0.07325545344061316
brspeech,41,6,5,10.0,beats,0.02408032742588184
brspeech,41,6,5,10.0,ced,0.13448231828702328
brspeech,41,6,5,10.0,contentvec12,0.07276651111913489
brspeech,41,6,5,10.0,egemaps,0.17292765729741075
brspeech,41,6,5,10.0,rmvpe_cont,-0.01740685901579386
brspeech,41,6,5,10.0,rmvpe_quant,0.03198614175082665
brspeech,41,6,5,10.0,speaker,0.12277308286202111
brspeech,41,6,5,10.0,wavlm,0.1300898579519276
brspeech,41,6,5,10.0,whisper,-0.11156079590739658
brspeech,42,6,5,10.0,auditory_erb,0.1022648724839164
brspeech,42,6,5,10.0,beats,0.023588921618576227
brspeech,42,6,5,10.0,ced,0.19812133906190216
brspeech,42,6,5,10.0,contentvec12,0.12708622130527086
brspeech,42,6,5,10.0,egemaps,0.37530246813537627
brspeech,42,6,5,10.0,rmvpe_cont,0.04815181610385315
brspeech,42,6,5,10.0,rmvpe_quant,-0.6976294993801995
brspeech,42,6,5,10.0,speaker,0.17915048613282097
brspeech,42,6,5,10.0,wavlm,0.1680280173176794
brspeech,42,6,5,10.0,whisper,0.024858896212154733
brspeech,43,6,4,10.0,auditory_erb,0.055714928997225924
brspeech,43,6,4,10.0,beats,-0.04157937884492207
brspeech,43,6,4,10.0,ced,0.028411004570574997
brspeech,43,6,4,10.0,contentvec12,-0.11243361850702846
brspeech,43,6,4,10.0,egemaps,0.3515313425565278
brspeech,43,6,4,10.0,rmvpe_cont,0.11038987190730547
brspeech,43,6,4,10.0,rmvpe_quant,0.07236300458383009
brspeech,43,6,4,10.0,speaker,0.15002387682519341
brspeech,43,6,4,10.0,wavlm,-0.058685722725391236
brspeech,43,6,4,10.0,whisper,-0.13881607558015077
brspeech,44,6,5,10.0,auditory_erb,0.06974259891506253
brspeech,44,6,5,10.0,beats,0.045198671030504414
brspeech,44,6,5,10.0,ced,0.15382177758863097
brspeech,44,6,5,10.0,contentvec12,0.060435372061597284
brspeech,44,6,5,10.0,egemaps,0.19313140644963395
brspeech,44,6,5,10.0,rmvpe_cont,0.0037691911734671017
brspeech,44,6,5,10.0,rmvpe_quant,0.006671092970165883
brspeech,44,6,5,10.0,speaker,0.1311498443848642
brspeech,44,6,5,10.0,wavlm,0.09862419447848464
brspeech,44,6,5,10.0,whisper,-0.08951632436918311
brspeech,45,6,4,10.0,auditory_erb,-1.7486814165654714
brspeech,45,6,4,10.0,beats,-0.16167559824720498
brspeech,45,6,4,10.0,ced,0.2691037129212961
brspeech,45,6,4,10.0,contentvec12,0.36544481628745445
brspeech,45,6,4,10.0,egemaps,0.6650176923008577
brspeech,45,6,4,10.0,rmvpe_cont,0.15910609674390058
brspeech,45,6,4,10.0,rmvpe_quant,-0.009069452141768544
brspeech,45,6,4,10.0,speaker,0.39314917476338146
brspeech,45,6,4,10.0,wavlm,0.367923374195122
brspeech,45,6,4,10.0,whisper,0.09713506254361806
brspeech,46,6,4,10.0,auditory_erb,0.23700908687132385
brspeech,46,6,4,10.0,beats,0.06463388005881728
brspeech,46,6,4,10.0,ced,0.25802991588064345
