dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc
brspeech,singleton,4,6,1942,1.430387808984454,1.2003614564575311,0.6571428571428573
brspeech,singleton,5,6,1942,1.377935248240324,1.1668878302366659,0.6571428571428573
brspeech,singleton,6,6,1942,1.3727857235022463,1.1575114742813661,0.6571428571428573
brspeech,singleton,7,6,1942,1.459491397920875,1.2786016410816285,0.6
brspeech,singleton,8,6,1942,1.4547970757869264,1.2675213210650904,0.6
brspeech,singleton,9,6,1942,1.4920127040800568,1.2906621284447644,0.6
brspeech,singleton,10,6,1942,1.4920918349062005,1.2907651383062537,0.6
bvcc,gate,1,175,4974,0.3395465481855425,0.3337844766854996,0.918004136826639
bvcc,gate,2,175,4974,0.28514088587624226,0.282030877960194,0.9264960996904286
bvcc,gate,3,175,4974,0.26168183477358664,0.25963031849385115,0.9392513973710027
bvcc,gate,4,175,4974,0.2523064272880961,0.24987021255375794,0.9404247101041934
bvcc,gate,5,175,4974,0.250662220816576,0.24784135601216836,0.937986279633879
bvcc,gate,6,175,4974,0.24981576036120665,0.24698064522752555,0.938724078384998
bvcc,gate,7,175,4974,0.24981613527366003,0.2469809647382874,0.938724078384998
bvcc,gate,8,175,4974,0.24981611863950073,0.246980885838669,0.938724078384998
bvcc,gate,9,175,4974,0.2498161465567396,0.24698091568812183,0.938724078384998
bvcc,gate,10,175,4974,0.24981577139941935,0.24698059682027837,0.938724078384998
bvcc,inner_search,1,175,4974,0.3395465481855425,0.3337844766854996,0.918004136826639
bvcc,inner_search,2,175,4974,0.28094780841341593,0.2777098794290392,0.9307314451767458
bvcc,inner_search,3,175,4974,0.2605977856557898,0.2586685374998744,0.939166309806382
bvcc,inner_search,4,175,4974,0.2523064272880961,0.24987021255375794,0.9404247101041934
bvcc,inner_search,5,175,4974,0.250662220816576,0.24784135601216836,0.937986279633879
bvcc,inner_search,6,175,4974,0.24981576036120665,0.24698064522752555,0.938724078384998
